year,num_returns_total,unemployment_returns,earned_income_credit_returns,low_income_returns,eic_ratio,unemployment_ratio,low_income_ratio,eic_ratio_scaled,unemployment_ratio_scaled,low_income_ratio_scaled,poverty_index,total_animals_count,abandoned_count,euthanasia_request_count,owner_surrender_count,public_assist_count,stray_count,wildlife_count
2013,891590.0,33460.0,142860.0,304470.0,0.16023059926647898,0.03752846039098689,0.3414910440897722,0.35709290879985084,0.1740350619428823,0.8512775090414859,0.5611701942228897,4182.0,0.0,31.0,828.0,244.0,2884.0,195.0
2014,919840.0,27790.0,141520.0,301850.0,0.15385284397286483,0.0302117759610367,0.3281548965037398,0.3126587216016492,0.11129274178139642,0.7600463335048241,0.4938465489760527,18656.0,0.0,110.0,3382.0,1150.0,13125.0,889.0
2015,953790.0,23940.0,141770.0,301780.0,0.14863858920726786,0.025099864750102223,0.31640088489080403,0.27633070936423454,0.06745687966321516,0.6796383828727532,0.4369317794729661,18712.0,0.0,78.0,3233.0,1082.0,13680.0,639.0
2016,971510,23880,139990,299180,0.1440952743667075,0.024580292534302273,0.3079535980072259,0.2446771740948645,0.06300142355835824,0.621851386477227,0.396237994613277,17675.0,0.0,24.0,3361.0,1149.0,12371.0,770.0
2017,1013510.0,22320.0,139180.0,298950.0,0.13732474272577477,0.022022476344584662,0.2949650225454115,0.1975064915404904,0.041067537544008596,0.5329979150917548,0.33283373673891115,17563.0,0.0,8.0,3580.0,1180.0,12011.0,784.0
2018,1044440.0,20230.0,137430.0,291200.0,0.13158247481904178,0.019369231358431313,0.2788096970625407,0.1574997814421152,0.018315326760302026,0.4224810416489813,0.26282290306702366,16979.0,0.0,2.0,3306.0,1088.0,12012.0,571.0
2019,1109980,20550,142830,301490,0.12867799419809367,0.01851384709634408,0.27161750662174095,0.1372640982458691,0.010980201985303494,0.37328002731070825,0.23084287669899015,19727.0,0.0,4.0,4292.0,1042.0,13910.0,479.0
2020,1127770.0,150950.0,136460.0,295950.0,0.12099984926004416,0.13384821373152328,0.26242052900857443,0.08377002175569372,1.0,0.31036447590271976,0.2773605239462861,9587.0,261.0,0.0,2389.0,601.0,5822.0,514.0
2021,709520.0,68370.0,179160.0,199050.0,0.25250873830195064,0.09636092005863119,0.2805417747209381,1.0,0.6785374845490973,0.43433000176861014,0.7133022492507843,12043.0,393.0,2.0,3310.0,583.0,7373.0,382.0
2022,1165760.0,20090.0,127040.0,253030.0,0.10897611858358495,0.01723339280812517,0.2170515371946198,0.0,0.0,0.0,0.0,11896.0,314.0,0.0,2846.0,748.0,7582.0,406.0
